strain,replicate,temperature,time (hour),gdw (g/L),CFU (cell/mL),glucose (g/L),fructose (g/L),glycerol (g/L),ethanol (%v/v),acetate (g/L ?),citrate,tartrate,malate,succinate,lactate,butanediol,Alanine (mg/L),Arginine (mg/L),Aspartate (mg/L),Cysteine (mg/L),Glutamate (mg/L),Glutamine (mg/L),Glycine (mg/L),Histidine (mg/L),Isoleucine (mg/L),Leucine (mg/L),Lysine (mg/L),Methionine (mg/L),NH4Cl (mg/L),Phenylalanine (mg/L),Proline (mg/L),Serine (mg/L),Threonine (mg/L),Tryptophan (mg/L),Tyrosine (mg/L),Valine (mg/L),ethyl acetate (mg/L),isobutyl acetate (mg/L),isoamyl acetate (mg/L),isobutanol (mg/L),isoamyl alcohol(mg/L),2-phenylethylacetate(mg/L),benzyl alcohol (mg/L),2-phenylethanol(mg/L)
BMV,A,NaN,0,NaN,4480000,102.4441,99.7111,0.1405,0.1632,0,6.1153,NaN,5.802,0,0,0,63.81180106,139.9147796,19.75156938,5.353510928,54.7283604,237,10.10519521,17.01334889,15.4396674,22.57341361,4.3677,2.8712,273.1586,16.9753,284,35.6121,36.7883,97.5122,7.8994,23.7807,0,0,0,0,0,0,0,0
BMV,B,NaN,0,NaN,3460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,71.41509491,144.4943115,21.0242286,5.571847695,56.66125877,NaN,11.0160571,17.32280401,16.03574767,23.48885168,4.545,3.6348,281.2177,17.4895,NaN,36.8683,38.175,102.2463,8.4623,24.3924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,C,NaN,0,NaN,4460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,A,NaN,23,0.08,49500000,91.4889,93.3488,0.9658,0.8213,0.1415,5.9202,0.2362,5.6035,0.0262,0.0405,0,59.40628128,51.86924628,NaN,5.478741487,26.38729363,81.6649992,12.41097595,0,0,0,0,0,156.3574,2.077,67.5213,6.8781,15.0436,102.436,5.5384,9.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,B,NaN,23,0.4,49000000,87.5789,89.478,0.9524,0.8217,0.1403,5.6932,0.2243,5.3829,0.0456,0.0497,0,54.99815266,58.87523462,4.069055581,5.143473586,25.69134017,79.29352799,11.93143587,NaN,NaN,NaN,NaN,NaN,154.7329,0,70.93,6.7752,12.4614,97.9123,0,8.2456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,C,NaN,23,0.08,49900000,98.2005,100.3332,1.057,0.8834,0.1689,6.3829,0.2635,6.0508,NaN,NaN,0,57.85557905,69.15993237,5.203417171,5.260413802,27.1264118,84.68538434,11.74716089,NaN,NaN,NaN,NaN,NaN,155.7293,0,75.0652,7.3874,9.6055,98.8866,0,9.1558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,A,NaN,28,0.6,78700000,81.2247,86.0271,1.3729,1.2035,0.2322,5.5929,0.4624,5.3091,NaN,NaN,0,44.28382134,19.31560911,0,3.415002483,20.27908352,65.95670544,13.71253135,0,0,0,0,0,90.7143,0,77.9264,4.6673,10.1426,89.0765,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,B,NaN,28,0.32,NaN,81.9943,87.0759,1.4127,1.2558,0.3697,5.7044,0.5153,5.4637,0.2753,0.2594,0,42.67210606,10.76372879,NaN,3.145335903,16.43974703,58.99643058,12.75892509,NaN,NaN,NaN,NaN,NaN,82.7723,NaN,79.672,3.811,7.4598,83.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,C,NaN,28,0.6,69700000,84.8703,90.0777,1.4612,1.2922,0.3664,5.8964,0.4974,5.6038,0.1882,0.1981,0,43.65499787,14.57248442,NaN,3.892950809,19.07518502,63.51295178,13.46365613,NaN,NaN,NaN,NaN,NaN,88.4464,NaN,79.7009,4.3225,9.2595,88.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMV,A,NaN,40,1.36,101000000,71.3271,85.6364,2.7238,2.9687,0.3816,6.089,1.0357,5.7674,0.1724,0.1523,0.6333,0,0,NaN,0,0,12.51013305,7.780187516,NaN,NaN,NaN,NaN,NaN,0,NaN,107.9403,0,0,38.4956,NaN,NaN,0,0,0.043,4.806,24.247,0.089,0,11.401
