par_name,value,LB,UB,isopt
proportional,0.12769,0.0001,1,1
YxN,7.85165,1,30,1
targetCarb,0.598583,0.35,0.8,1
YEth,0.448214,0,1,1
vMaxGlx,2.83544,0.3,30,1
vMaxF,0.616553,0.1,10,1
ksGlx ,99.9176,0.1,110,1
ksF,32.2401,0.1,110,1
YGlycerol,0.0529729,0,0.1,1
YAce,0.00808941,0,1,1
YSuccinate,0.0372924,1.00E-04,1,1
tau_gene,0.0162168,1.00E-04,1,1
ks_C ,0.00134722,1.00E-04,1,1
kAla,0.125983,0,1,1
kArg,0.286056,0,1,1
kAsp,0.522118,0,1,1
kGlu,0.246723,0,1,1
kGln,0.302399,0,1,1
kAAlow,0.215846,0,1,1
kAAfast,0.949996,0,0.95,1
kNH4Cl,0.19911,0,1,1
kPhe,0.867376,0,0.9,1
kSer,0.531496,0,0.9,1
kThr,0.257288,0,0.9,1
kTry,0.476093,0,0.9,1
kTyr,0.287855,0,1,1
kVal,0.404916,0,1,1
a0,0.109499,0,1,1
a02,0.000100001,1.00E-04,1.00E-02,1
mumaxN,0.277033,0,0.5,1
kN,0.126305,0,1,1
alpha,11.694,0,1000,1
YEthylAcetate,0.000344916,0,1,1
YIsoamylAcetate,2.20E-05,0,1.00E-03,1
YIsobutanol,0.000945594,0,1,1
YIsoamylAlcohol,0.00513513,0,1,1
YPhenylEthylAcetate,6.49E-05,0,1.00E-03,1
YPhenylEthanol,0.00828546,0,1,1
YLactate,0.00365581,0,1,1
YButanediol,0.0108653,0,1,1
ks_S,499.984,0.1,500,1
kcMalate,0.000199399,0,1,1
kE_i,21.3422,2,300,0
kd,0.00E+00,0,1,0
optCarb,0.29,0,0.6,0
optProt,0.59,0.2,0.7,0
YIsobutylAcetate,0,0,1,0
YBenzylAlcohol,0,0,1,0
kCys,0.14096,0,1,0
kGly,0.263702,0,1,0
