strain,replicate,temperature,time (hour),gdw (g/L),CFU (cell/mL),glucose (g/L),fructose (g/L),glycerol (g/L),ethanol (%v/v),acetate (g/L ?),citrate,tartrate,malate,succinate,lactate,butanediol,Alanine (mg/L),Arginine (mg/L),Aspartate (mg/L),Cysteine (mg/L),Glutamate (mg/L),Glutamine (mg/L),Glycine (mg/L),Histidine (mg/L),Isoleucine (mg/L),Leucine (mg/L),Lysine (mg/L),Methionine (mg/L),NH4Cl (mg/L),Phenylalanine (mg/L),Proline (mg/L),Serine (mg/L),Threonine (mg/L),Tryptophan (mg/L),Tyrosine (mg/L),Valine (mg/L),ethyl acetate (mg/L),isobutyl acetate (mg/L),isoamyl acetate (mg/L),isobutanol (mg/L),isoamyl alcohol(mg/L),2-phenylethylacetate(mg/L),benzyl alcohol (mg/L),2-phenylethanol(mg/L)
CR85,A,NaN,0,NaN,1.10E+06,102.4441,99.7111,0.1405,0.1632,0,6.1153,NaN,5.802,0,0,0,63.81180106,139.9147796,19.75156938,5.353510928,54.7283604,237,10.10519521,17.01334889,15.4396674,22.57341361,4.3677,2.8712,273.1586,16.9753,284,35.6121,36.7883,97.5122,7.8994,23.7807,0,0,0,0,0,0,0,0
CR85,B,NaN,0,NaN,1.22E+06,NaN,101.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.41509491,144.4943115,21.0242286,5.571847695,56.66125877,NaN,11.0160571,17.32280401,16.03574767,23.48885168,4.545,3.6348,281.2177,17.4895,NaN,36.8683,38.175,102.2463,8.4623,24.3924,0,0,0,0,0,0,0,0
CR85,C,NaN,0,NaN,1.30E+06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0
CR85,A,NaN,21,NaN,1.94E+07,110.3353,112.1071,0.8378,0.7197,0,7.2912,NaN,6.5328,0.0164,0.0417,0,44.18530408,117.1915136,4.174413594,5.281537597,24.72272388,110.8910469,10.17820216,0,0,0,0,0,138.4775,3.3498,72.9739,9.8064,9.313,101.4008,5.8066,11.5816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,B,NaN,21,NaN,2.11E+07,99.5356,100.5036,0.7746,0.6913,0,6.4058,NaN,5.8122,0.0257,0.03,0,47.88206998,105.8540459,4.688539367,5.709691792,26.90906716,124.7597487,10.73777973,0,0,0,0,0,155.6564,4.0069,65.2646,11.0892,NaN,109.9814,6.0581,12.2823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,C,NaN,21,NaN,2.23E+07,90.4834,92.1127,0.73,0.6331,0.0785,5.8885,NaN,5.2779,0.0259,0.0285,0,44.61309682,110.5762919,3.584504693,5.422238159,24.64762867,112.467392,10.99096309,0,0,0,0,0,140.6154,3.6339,62.5329,9.8806,10.4177,101.1868,6.2143,10.7594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,A,NaN,27,0.36,3.26E+07,108.1606,114.1892,1.7383,1.3823,0.2762,7.4107,0.1078,6.7701,0.0556,0.0646,0,36.03748078,83.79193699,0,NaN,18.82956272,69.78434639,10.53427748,NaN,NaN,NaN,NaN,NaN,62.9466,0,65.2995,2.9689,3.7477,74.8577,3.7237,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,B,NaN,27,0.38,3.34E+07,85.1999,89.6022,1.3368,1.0308,0.2067,5.8021,0.2896,5.5021,0.0663,0.0521,0,33.74394249,69.14296182,0,NaN,17.39527037,65.72238993,10.05830151,NaN,NaN,NaN,NaN,NaN,63.5175,0,69.1798,1.9378,NaN,70.6958,3.5673,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,C,NaN,27,0.6,3.34E+07,97.4735,103.771,1.6214,1.2336,0.261,6.6685,0.3615,6.3437,0.0781,0.0594,0,33.70908237,76.2068667,0,NaN,17.15686947,64.3001566,10.14741264,NaN,NaN,NaN,NaN,NaN,54.5408,0,64.6896,0,3.38,70.3515,3.5055,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CR85,A,NaN,40,NaN,5.45E+07,69.9254,86.3848,3.461,2.9141,0.5674,6.19,NaN,5.8024,0.1902,0.1387,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,88.8327,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
