par_name,value,LB,UB,isopt
proportional,0.078301,0.0001,1,1
YxN         ,8.43934,1,30,1
targetCarb,0.55121,0.35,1,1
YEth,0.450058,0,1,1
vMaxGlx,1.8873,0.3,30,1
vMaxF,0.876951,0.3,10,1
ksGlx,35.9127,30,150,1
ksF,23.7895,1,150,1
YGlycerol,0.0554307,0,1,1
YAce,0.00661573,0,0.1,1
YSuccinate,0.0136439,0,0.1,1
tau_gene,0.999973,0,1,1
ks_C ,0.000119213,1.00E-04,1,1
kAla,0.162686,0,1,1
kArg,0.214077,0,1,1
kAsp,0.630803,0,1,1
kGlu,0.20964,0,1,1
kGln,0.225596,0,1,1
kAAlow,0.376873,0,1,1
kAAfast,0.949999,0,0.95,1
kNH4Cl,0.230173,0,1,1
kPhe,0.617241,0,1,1
kSer,0.496121,0,1,1
kThr,0.394624,0,1,1
kTry,0.899996,0,0.9,1
kTyr,0.12685,0,1,1
kVal,0.381588,0,1,1
a0,0.162805,0,1,1
a02,1.00E-04,0,1,0
mumaxN,0.262051,0,0.5,1
kN,0.0862155,0,1,1
alpha,7.96315,0,1000,1
YEthylAcetate,0.000346937,0,1,1
YIsoamylAcetate,9.44E-06,0,1.00E-03,1
YIsobutanol,1.42E-05,0,1,1
YIsoamylAlcohol,0.00526321,0,1,1
YPhenylEthylAcetate,4.21E-05,0,1.00E-03,1
YPhenylEthanol,0.00527921,0,1,1
YLactate,0.00241033,0,1,1
YButanediol,0.0128449,0,1,1
ks_S,63.8699,0.1,500,1
kcMalate,0.00104049,0,1,1
kE_i,21.3422,2,300,0
kd,0,0.0001,0.1,0
optCarb,0.29,0,0.6,0
optProt,0.59,0.2,0.7,0
YIsobutylAcetate,0,0,1,0
YBenzylAlcohol,0,0,1,0
kCys,0.0523637,0,1,0
kGly,0.044383,0,1,0
kHis,1,0,1,0
kIle,1,0,1,0
kLeu,1,0,1,0
kLys,1,0,1,0
kMeth,1,0,1,0
kcAce,0.00E+00,0,1,0
