strain,replicate,temperature,time (hour),gdw (g/L),CFU (cell/mL),glucose (g/L),fructose (g/L),glycerol (g/L),ethanol (%v/v),acetate (g/L ?),citrate,tartrate,malate,succinate,lactate,butanediol,Alanine (mg/L),Arginine (mg/L),Aspartate (mg/L),Cysteine (mg/L),Glutamate (mg/L),Glutamine (mg/L),Glycine (mg/L),Histidine (mg/L),Isoleucine (mg/L),Leucine (mg/L),Lysine (mg/L),Methionine (mg/L),NH4Cl (mg/L),Phenylalanine (mg/L),Proline (mg/L),Serine (mg/L),Threonine (mg/L),Tryptophan (mg/L),Tyrosine (mg/L),Valine (mg/L),ethyl acetate (mg/L),isobutyl acetate (mg/L),isoamyl acetate (mg/L),isobutanol (mg/L),isoamyl alcohol(mg/L),2-phenylethylacetate(mg/L),benzyl alcohol (mg/L),2-phenylethanol
EC1118,A,NaN,0,NaN,1.40E+06,102.4441,99.7111,0.1405,0.1632,0,6.1153,NaN,5.802,0,0,NaN,63.81180106,139.9147796,19.75156938,5.353510928,54.7283604,237,10.10519521,17.01334889,15.4396674,22.57341361,4.3677,2.8712,273.1586,16.9753,284,35.6121,36.7883,97.5122,7.8994,23.7807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,0,NaN,2.17E+06,113.22,113.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.41509491,144.4943115,21.0242286,5.571847695,56.66125877,NaN,11.0160571,17.32280401,16.03574767,23.48885168,4.545,3.6348,281.2177,17.4895,NaN,36.8683,38.175,102.2463,8.4623,24.3924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,0,NaN,1.99E+06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,21,0.2,2.14E+07,98.1445,98.0883,0.5509,0.6147,NaN,6.4088,NaN,5.707,0.0087,0.0513,NaN,62.79431512,103.487637,8.143134607,5.589426515,38.96123598,79.60029025,12.05464276,NaN,NaN,NaN,NaN,NaN,180.1655,4.8298,60.034,8.6888,11.8894,112.9744,NaN,13.8564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,21,0.14,2.12E+07,107.2419,107.0677,0.5721,0.6008,NaN,6.5884,NaN,6.1658,0.0197,0.0211,NaN,52.01128992,94.30147725,8.203600271,5.336215777,38.60784293,81.03381922,10.57505981,NaN,NaN,NaN,NaN,NaN,178.437,5.471,60.28,8.9847,11.1317,106.4699,5.2933,14.2712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,21,0.2,1.99E+07,134.2836,134.4035,0.7372,0.8748,0.0923,8.2973,NaN,7.7798,0.0281,0.0386,NaN,51.36474094,95.26981746,7.547160113,5.323109184,37.55752804,77.21366901,11.15526523,NaN,NaN,NaN,NaN,NaN,176.4784,4.8913,61.2964,8.2929,11.2147,108.416,5.0182,13.7613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,28,0.1,4.26E+07,89.9357,93.816,0.9843,1.0349,0.1439,5.9936,0.1547,5.5154,0.0289,0.0507,NaN,37.1176956,57.66068832,NaN,NaN,25.58573861,38.62627704,9.410247367,NaN,NaN,NaN,NaN,NaN,112.1662,NaN,67.7573,NaN,NaN,93.7411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,28,0.14,4.28E+07,91.1349,94.3092,1.0024,1.0341,0.1423,6.1445,0.2205,5.8466,0.0484,0.048,NaN,35.03054923,51.67682023,NaN,NaN,23.293587,35.60616655,9.215757115,NaN,NaN,NaN,NaN,NaN,106.4881,NaN,68.1985,NaN,NaN,85.3111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,28,0.38,4.46E+07,105.9219,110.0575,1.2214,1.3664,0.1773,7.1321,0.2868,6.8252,0.0542,0.068,NaN,34.18243176,49.06430646,NaN,NaN,22.73651068,35.40812589,9.641021016,NaN,NaN,NaN,NaN,NaN,100.6958,NaN,62.9526,NaN,NaN,91.1199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,41,2.1,8.64E+07,70.8251,81.5145,2.082,2.4313,0.2956,5.8471,NaN,5.5558,0.0797,0.1105,NaN,0,0,0,0,0,0,5.973602184,0,0,0,0,0,0,0,81.8016,0,0.7656,0,0,0,0,0,0.039,0,14.625,0,0,14.428
EC1118,B,NaN,41,2.26,7.97E+07,69.8865,80.3596,2.0345,2.3837,0.2908,5.7179,NaN,5.4496,0.0827,0.114,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.774,0,0,0,0,0,0,0,0.035,0,14.494,0,0,16.881
EC1118,C,NaN,41,2.24,1.03E+08,94.9772,110.7109,2.9067,3.6586,0.3964,7.9847,0.7771,7.5772,0.1359,0.1788,NaN,0,0,0,5.205427091,0,0,0,0,0,0,0,0,0,0,86.8664,0,0,0,0,0,0,0,0.061,0,18.463,0.055,0,24.96
EC1118,A,NaN,73,2.92,1.01E+08,45.1589,68.6818,4.158,6.0681,0.4958,6.4032,NaN,6.0053,0.2579,0.1734,0.3288,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,13.069,0,0.389,7.406,100.513,0.57,0,143.683
EC1118,B,NaN,73,2.82,1.02E+08,46.433,70.8567,3.7988,6.3307,0.5692,6.641,NaN,6.1197,0.2851,0.1831,0.3162,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,4.02,0,0.312,7.826,104.928,0.606,0,147.333
