par_name,value,LB,UB,isopt
proportional,1.34524,0.0001,2,1
YxN,4.55193,1,30,1
targetCarb,0.790217,0.35,0.8,1
YEth,0.443375,0,1,1
vMaxGlx,1.7875,0.3,30,1
vMaxF,1.81659,0.1,10,1
ksGlx ,12.3883,0.1,110,1
ksF,32.3568,0.1,110,1
YGlycerol,0.0588767,0,0.1,1
YAce,0.00760807,0,1,1
YSuccinate,0.00376978,1.00E-04,1,1
tau_gene,0.99944,1.00E-04,1,1
ks_C ,0.00264449,1.00E-04,1,1
kAla,0.260605,0,0.85,1
kArg,0.350344,0,0.85,1
kAsp,0.600493,0,0.85,1
kGlu,0.264668,0,0.85,1
kGln,0.610262,0,0.85,1
kAAlow,0.333851,0,0.85,1
kAAfast,0.340482,0,0.85,1
kNH4Cl,0.290816,0,0.85,1
kPhe,0.786693,0,0.85,1
kSer,0.85,0,0.85,1
kThr,0.764202,0,0.85,1
kTry,0.85,0,0.85,1
kTyr,0.298868,0,0.85,1
kVal,0.351805,0,0.85,1
a0,0.208893,0,1,1
a02,0.000455803,0,1,1
mumaxN,0.230744,0,1,1
kN,0.0741667,0,1,1
alpha,19.2557,0,100,1
YEthylAcetate,0.000302436,0,1,1
YIsoamylAcetate,7.91E-06,0,1.00E-03,1
YIsobutanol,0.000165218,0,1,1
YIsoamylAlcohol,0.00234085,0,1,1
YPhenylEthylAcetate,3.28E-05,0,1.00E-03,1
YPhenylEthanol,0.0076067,0,1,1
YLactate,0.00255331,0,1,1
YButanediol,0.0170161,0,1,1
ks_S,486.975,0.1,500,1
kcMalate,0.000885942,0,1,1
kE_i,21.3422,2,300,0
kd,0.00E+00,0,1,0
optCarb,0.29,0,0.6,0
optProt,0.59,0.2,0.7,0
YIsobutylAcetate,0,0,1,0
YBenzylAlcohol,0,0,1,0
kCys,0.0629236,0,1,0
kGly,0.197329,0,1,0
